id	url	publishedAt	title	thumbnail
HgQBZU9mi6s	https://www.youtube.com/watch?v=HgQBZU9mi6s	2019-11-17T17:29:42Z	O GOLPE MILITAR DE 15 DE NOVEMBRO DE 1889 - EDUARDO BUENO	https://i.ytimg.com/vi/HgQBZU9mi6s/mqdefault.jpg
Y0dZpuaEXAY	https://www.youtube.com/watch?v=Y0dZpuaEXAY	2019-11-13T13:59:45Z	A CONQUISTA DA AMAZÔNIA - EDUARDO BUENO	https://i.ytimg.com/vi/Y0dZpuaEXAY/mqdefault.jpg
RyQyTR8U8A0	https://www.youtube.com/watch?v=RyQyTR8U8A0	2019-11-10T14:00:02Z	DEMOCRATIZAÇÃO DO ACESSO AO CINEMA NO BRASIL: ENEM 2019 - EDUARDO BUENO	https://i.ytimg.com/vi/RyQyTR8U8A0/mqdefault.jpg
HzewttqI8ts	https://www.youtube.com/watch?v=HzewttqI8ts	2019-11-06T13:31:24Z	DARWIN E AS BORBOLETAS MUTANTES DA AMAZÔNIA - EDUARDO BUENO	https://i.ytimg.com/vi/HzewttqI8ts/mqdefault.jpg
yuJPJmqOi0c	https://www.youtube.com/watch?v=yuJPJmqOi0c	2019-11-03T14:00:15Z	PATRIOTISMO, O QUE É ISSO? - EDUARDO BUENO	https://i.ytimg.com/vi/yuJPJmqOi0c/mqdefault.jpg
2gGTquOUkOw	https://www.youtube.com/watch?v=2gGTquOUkOw	2019-10-30T13:57:58Z	ANHANGUERA, O DIABO BRASILEIRO - EDUARDO BUENO	https://i.ytimg.com/vi/2gGTquOUkOw/mqdefault.jpg
nxXOo1KveUI	https://www.youtube.com/watch?v=nxXOo1KveUI	2019-10-27T16:41:24Z	O QUE É E PARA QUE SERVE O NIÓBIO - EDUARDO BUENO	https://i.ytimg.com/vi/nxXOo1KveUI/mqdefault.jpg
C_FC8oQnIFQ	https://www.youtube.com/watch?v=C_FC8oQnIFQ	2019-10-23T13:57:50Z	LUND: O VERDADEIRO HOMEM DAS CAVERNAS - EDUARDO BUENO	https://i.ytimg.com/vi/C_FC8oQnIFQ/mqdefault.jpg
9xl13mBlZZ0	https://www.youtube.com/watch?v=9xl13mBlZZ0	2019-10-20T14:00:01Z	GOLPE MILITAR DE 1930 - EDUARDO BUENO	https://i.ytimg.com/vi/9xl13mBlZZ0/mqdefault.jpg
WwLpdSHSPz0	https://www.youtube.com/watch?v=WwLpdSHSPz0	2019-10-16T19:31:06Z	A PRODIGIOSA HISTÓRIA DO FUSCA NO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/WwLpdSHSPz0/mqdefault.jpg
ruFWKYsZp0o	https://www.youtube.com/watch?v=ruFWKYsZp0o	2019-10-13T14:00:08Z	NAZISTAS NO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/ruFWKYsZp0o/mqdefault.jpg
mHYOGn3hA_A	https://www.youtube.com/watch?v=mHYOGn3hA_A	2019-10-09T13:55:42Z	A GUERRA GUARANÍTICA - EDUARDO BUENO	https://i.ytimg.com/vi/mHYOGn3hA_A/mqdefault.jpg
ZvIsSArE8NY	https://www.youtube.com/watch?v=ZvIsSArE8NY	2019-10-06T14:15:00Z	A FASCINANTE HISTÓRIA DO VERDADEIRO THOR - EDUARDO BUENO	https://i.ytimg.com/vi/ZvIsSArE8NY/mqdefault.jpg
pOWs9tD2_KU	https://www.youtube.com/watch?v=pOWs9tD2_KU	2019-10-02T13:59:06Z	CRISTÓVÃO JACQUES E EXPEDIÇÕES GUARDA-COSTAS - EDUARDO BUENO	https://i.ytimg.com/vi/pOWs9tD2_KU/mqdefault.jpg
-kpXIzr9C5U	https://www.youtube.com/watch?v=-kpXIzr9C5U	2019-09-29T14:00:00Z	RAONI NA BOCA DO MUNDO - EDUARDO BUENO	https://i.ytimg.com/vi/-kpXIzr9C5U/mqdefault.jpg
d8eHfHT3clU	https://www.youtube.com/watch?v=d8eHfHT3clU	2019-09-25T14:00:41Z	A ERA RIO BRANCO - EDUARDO BUENO	https://i.ytimg.com/vi/d8eHfHT3clU/mqdefault.jpg
BVwJY3St6qU	https://www.youtube.com/watch?v=BVwJY3St6qU	2019-09-22T14:00:00Z	GUERRA AOS FARRAPOS - EDUARDO BUENO	https://i.ytimg.com/vi/BVwJY3St6qU/mqdefault.jpg
TLRbHJ-bc2U	https://www.youtube.com/watch?v=TLRbHJ-bc2U	2019-09-18T13:52:14Z	AS TORMENTAS DE BARTOLOMEU DIAS - EDUARDO BUENO	https://i.ytimg.com/vi/TLRbHJ-bc2U/mqdefault.jpg
xx7v6I8kRAA	https://www.youtube.com/watch?v=xx7v6I8kRAA	2019-09-15T14:00:08Z	MORTE OU INDEPENDÊNCIA - EDUARDO BUENO	https://i.ytimg.com/vi/xx7v6I8kRAA/mqdefault.jpg
pSd993URA6E	https://www.youtube.com/watch?v=pSd993URA6E	2019-09-11T14:02:20Z	OS SETE POVOS DAS MISSÕES ORIENTAIS - EDUARDO BUENO	https://i.ytimg.com/vi/pSd993URA6E/mqdefault.jpg
MAP_Y-WUYTM	https://www.youtube.com/watch?v=MAP_Y-WUYTM	2019-09-04T14:04:17Z	OS DIAS DE BARTOLOMEU - EDUARDO BUENO	https://i.ytimg.com/vi/MAP_Y-WUYTM/mqdefault.jpg
c9CS7IzClpo	https://www.youtube.com/watch?v=c9CS7IzClpo	2019-09-06T14:00:08Z	OS RATOS - EDUARDO BUENO	https://i.ytimg.com/vi/c9CS7IzClpo/mqdefault.jpg
rLwuwAukiV0	https://www.youtube.com/watch?v=rLwuwAukiV0	2019-09-01T14:00:08Z	AMAZÔNIA EM FLOR - EDUARDO BUENO	https://i.ytimg.com/vi/rLwuwAukiV0/mqdefault.jpg
TEsAOpIrIq4	https://www.youtube.com/watch?v=TEsAOpIrIq4	2019-08-28T13:54:24Z	LOTT, O MARECHAL GOLPISTA - EDUARDO BUENO	https://i.ytimg.com/vi/TEsAOpIrIq4/mqdefault.jpg
PQg3spWKwr0	https://www.youtube.com/watch?v=PQg3spWKwr0	2019-08-25T14:00:05Z	500 MIL SEGUIDORES! - EDUARDO BUENO	https://i.ytimg.com/vi/PQg3spWKwr0/mqdefault.jpg
PPFaCPLaml8	https://www.youtube.com/watch?v=PPFaCPLaml8	2019-08-21T13:55:59Z	OS RIOS DE SÃO PAULO - EDUARDO BUENO	https://i.ytimg.com/vi/PPFaCPLaml8/mqdefault.jpg
svuF4FW7M_c	https://www.youtube.com/watch?v=svuF4FW7M_c	2019-08-18T14:00:10Z	O COCO E O COCÔ - EDUARDO BUENO	https://i.ytimg.com/vi/svuF4FW7M_c/mqdefault.jpg
SR1ObjgVawU	https://www.youtube.com/watch?v=SR1ObjgVawU	2019-08-14T13:57:29Z	O PRESIDENTE DA GENTE (FINA) - EDUARDO BUENO	https://i.ytimg.com/vi/SR1ObjgVawU/mqdefault.jpg
tKlckEbFt3c	https://www.youtube.com/watch?v=tKlckEbFt3c	2019-08-11T14:00:07Z	INVENTANDO MODA - EDUARDO BUENO	https://i.ytimg.com/vi/tKlckEbFt3c/mqdefault.jpg
wvNPGKWnQr8	https://www.youtube.com/watch?v=wvNPGKWnQr8	2019-08-07T14:03:24Z	O MINISTRO SINISTRO - EDUARDO BUENO	https://i.ytimg.com/vi/wvNPGKWnQr8/mqdefault.jpg
r0rbdckl36U	https://www.youtube.com/watch?v=r0rbdckl36U	2019-08-04T14:00:11Z	A VERDADE É UMA COMISSÃO - EDUARDO BUENO	https://i.ytimg.com/vi/r0rbdckl36U/mqdefault.jpg
